,var,{,},id,:,",",real,array,[,],body,=,const_real,;,+,-,*,/,read,write,cadena,(,),if,operador_relacional,else,while,for,from,to,and,or,not,$
programa,sec_dec_var cuerpo,,,,,,,,,,sec_dec_var cuerpo,,,,,,,,,,,,,,,,,,,,,,,
sec_dec_var,var { dec_vars },,,,,,,,,,epsilon,,,,,,,,,,,,,,,,,,,,,,,
dec_vars,,,,id : tipo var_factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
var_factor,,,epsilon,,,", dec_vars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipo,,,,,,,real,array [ exp_aritmetica ],,,,,,,,,,,,,,,,,,,,,,,,,,
cuerpo,,,,,,,,,,,body { sec_sentencias },,,,,,,,,,,,,,,,,,,,,,,
sec_sentencias,,,,sentencia ; sentencia_factor,,,,,,,,,,,,,,,sentencia ; sentencia_factor,sentencia ; sentencia_factor,,,,sentencia ; sentencia_factor,,,sentencia ; sentencia_factor,sentencia ; sentencia_factor,,,,,,
sentencia_factor,,,epsilon,sec_sentencias,,,,,,,,,,,,,,,sec_sentencias,sec_sentencias,,,,sec_sentencias,,,sec_sentencias,sec_sentencias,,,,,,
sentencia,,,,asignacion,,,,,,,,,,,,,,,lectura,escritura,,,,si_ent_sino,,,ciclo_while,ciclo_for,,,,,,
asignacion,,,,id asig_factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asig_factor,,,,,,,,,[ exp_aritmetica ] = exp_aritmetica,,,= valor_asignado,,,,,,,,,,,,,,,,,,,,,,
valor_asignado,,,,exp_aritmetica,,,,,arreglo,,,,exp_aritmetica,,,exp_artimetica,,,,,,exp_aritmetica,,,,,,,,,,,,
arreglo,,,,,,,,,[ elementos_array ],,,,,,,,,,,,,,,,,,,,,,,,,
exp_aritmetica,,,,producto arit_factor,,,,,,,,,producto arit_factor,,,producto arit_factor,,,,,,producto arit_factor,,,,,,,,,,,,
arit_factor,,epsilon,epsilon,,,epsilon,,,,epsilon,,,,epsilon, + exp_aritmetica, - exp_aritmetica,,,,,,,epsilon,,epsilon,,,,,epsilon,epsilon,epsilon,,
producto,,,,numero prod_factor,,,,,,,,,numero prod_factor,,,numero prod_factor ,,,,,,numero prod_factor ,,,,,,,,,,,,
prod_factor,,epsilon,epsilon,,,epsilon,,,,epsilon,,,,epsilon,epsilon,epsilon, * producto, / producto,,,,,epsilon,,epsilon,,,,,epsilon,epsilon,epsilon,,
numero,,,,id id_factor,,,,,,,,,const_real,,,- numero,,,,,,( exp_aritmetica ),,,,,,,,,,,,
id_factor,,epsilon,epsilon,,,epsilon,,,[ exp_aritmetica ],epsilon,,,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,epsilon,,epsilon,,,,,epsilon,epsilon,epsilon,,
elementos_array,,,,exp_aritmetica array_factor,,,,,,,,,exp_aritmetica array_factor,,,exp_aritmetica array_factor,,,,,,exp_aritmetica array_factor,,,,,,,,,,,,
array_factor,,,,,,", elementos_array",,,,epsilon,,,,,,,,,,,,,,,,,,,,,,,,
lectura,,,,,,,,,,,,,,,,,,,"read ( cadena , id )",,,,,,,,,,,,,,,
escritura,,,,,,,,,,,,,,,,,,,,write ( args_escribir ),,,,,,,,,,,,,,
args_escribir,,,,arg_escribir args_esc_factor,,,,,arg_escribir args_esc_factor,,,,arg_escribir args_esc_factor,,,arg_escribir args_esc_factor,,,,,arg_escribir args_esc_factor,arg_escribir args_esc_factor,,,,,,,,,,,,
args_esc_factor,,,,,,", args_escribir",,,,,,,,,,,,,,,,,epsilon,,,,,,,,,,,
arg_escribir,,,,exp_aritmetica,,,,,arreglo,,,,exp_aritmetica,,,exp_aritmetica,,,,,cadena,exp_aritmetica,,,,,,,,,,,,
si_ent_sino,,,,,,,,,,,,,,,,,,,,,,,,if condicion { sec_sentencias } sino,,,,,,,,,,
sino,,,,,,,,,,,,,,epsilon,,,,,,,,,,,,else { sec_sentencias },,,,,,,,
condicion,,conjuncion cond_or,,conjuncion cond_or,,,,,,,,,conjuncion cond_or,,,conjuncion cond_or,,,,,,conjuncion cond_or,,,,,,,,,,,conjuncion cond_or,
cond_or,,epsilon,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or condicion,,
conjuncion,,exp_relacional cond_and,,exp_relacional cond_and,,,,,,,,,exp_relacional cond_and,,,exp_relacional cond_and,,,,,,exp_relacional cond_and,,,,,,,,,,,exp_relacional cond_and,
cond_and,,epsilon,epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,and conjuncion,epsilon,,
exp_relacional,,{ condicion },,exp_aritmetica operador_relacional exp_aritmetica,,,,,,,,,exp_aritmetica operador_relacional exp_aritmetica,,,exp_aritmetica operador_relacional exp_aritmetica,,,,,,exp_aritmetica operador_relacional exp_aritmetica,,,,,,,,,,,not exp_relacional,
ciclo_while,,,,,,,,,,,,,,,,,,,,,,,,,,,while condicion { sec_sentencias },,,,,,,
ciclo_for,,,,,,,,,,,,,,,,,,,,,,,,,,,,for id from exp_aritmetica to exp_aritmetica { sec_sentencias },,,,,,